6,kanji
8,icon_item_static_old
9,icon_item_24_static_old
10,icon_item_field_static
11,icon_item_dungeon_static
12,icon_item_gameover_static
13,icon_item_jpn_static
14,icon_item_vtx_static
15,map_i_static
16,map_grand_static
17,item_name_static
18,map_name_static
19,icon_item_static_test
20,icon_item_24_static_test
21,schedule_dma_static_old
22,schedule_dma_static_test
23,schedule_static
24,story_static
25,do_action_static
26,message_static
27,message_texture_static
28,nes_font_static
29,message_data_static
30,staff_message_data_static
1114,scene_texture_01
1115,scene_texture_02
1116,scene_texture_03
1117,scene_texture_04
1118,scene_texture_05
1119,scene_texture_06
1120,scene_texture_07
1121,scene_texture_08
1123,title_static
1126,parameter_static
1127,week_static
1128,daytelop_static
1129,ger_daytelop_static
1130,fra_daytelop_static
1131,esp_daytelop_static
1132,d2_fine_static
1133,d2_cloud_static
1134,d2_fine_pal_static
1538,bump_texture_static
